Step, DC+, DC-, Gain+, Gain-, Ref+, Ref-
94,1.888603,1.874106,16946.55972,12708.78848,0.069,1.406062
95,1.908564,1.893891,17147.80318,12818.45031,0.071062,1.411688
96,1.931873,1.915526,17261.62515,12948.87069,0.073688,1.417125
97,1.951702,1.935222,17402.71937,13099.43287,0.076,1.422375
98,1.97153,1.955095,17653.43056,13269.4361,0.078625,1.427875
99,1.991535,1.974967,17872.83833,13437.27403,0.08125,1.433375
100,2.011496,1.994576,18062.21686,13602.98777,0.08425,1.438438
101,2.031633,2.014536,18328.63723,13725.90321,0.087375,1.443938
102,2.051329,2.034321,18433.87351,13847.66289,0.09075,1.449062
103,2.071643,2.054282,18642.10741,14028.17076,0.094313,1.453875
104,2.091251,2.075212,18693.70527,14147.11135,0.098438,1.45875
105,2.111167,2.095172,18974.26072,14264.95167,0.102812,1.463812
106,2.130908,2.114869,19149.99716,14420.38676,0.107375,1.468813
107,2.150913,2.134918,19348.23318,14592.98926,0.112375,1.473563
108,2.170917,2.154834,19616.37067,14725.60989,0.118188,1.478438
109,2.19079,2.174487,19808.22695,14931.1979,0.124312,1.483188
110,2.210663,2.194359,20044.40507,15060.26819,0.131,1.48775
111,2.2308,2.214276,20230.49728,15224.24628,0.138562,1.4925
112,2.25314,2.234369,20322.61075,15332.35413,0.146938,1.497125
113,2.272924,2.254197,20527.63232,15492.73154,0.156625,1.501563
114,2.292973,2.274246,20774.0969,15598.4785,0.167312,1.506125
115,2.31267,2.294031,20906.66375,15789.96002,0.17975,1.5105
116,2.332498,2.313727,21103.09334,15944.37122,0.194312,1.514875
117,2.352503,2.3336,21339.31166,16113.60947,0.211062,1.519125
118,2.372464,2.353472,21487.46814,16230.64406,0.231125,1.5235
119,2.392733,2.373389,21716.96266,16395.82937,0.255188,1.527938
120,2.413927,2.391587,21778.85895,16542.5142,0.282938,1.532438
121,2.434064,2.411504,22023.53407,16671.35412,0.319312,1.536438
122,2.453893,2.431376,22204.04194,16814.59049,0.366312,1.5405
123,2.47403,2.451425,22401.66405,16956.05023,0.429438,1.544312
124,2.493902,2.471078,22654.05598,17126.5806,0.518375,1.548312
125,2.513731,2.490818,22787.89267,17279.39683,0.65275,1.55225
126,2.533648,2.510911,22995.35295,17460.05812,0.875688,1.556188
127,2.55352,2.530739,23180.98912,17593.6485,1.318125,1.560125
128,2.573834,2.552639,23272.76913,17740.2061,2.047938,1.563812
129,2.59375,2.572379,23436.26017,17884.82665,2.048,1.567625
130,2.613887,2.592428,23721.59231,18070.00007,2.048,1.571375
131,2.633628,2.612345,23965.8312,18182.39317,2.048,1.574938
132,2.653721,2.632306,24103.18447,18362.55302,2.048,1.578688
133,2.673461,2.652266,24306.27152,18485.51582,2.048,1.582062
134,2.693422,2.671919,24505.90715,18660.63864,2.048,1.585875
135,2.713471,2.691968,24734.56941,18819.73463,2.048,1.5895
136,2.731801,2.712501,24927.02238,18976.43399,2.048,1.592938
137,2.751409,2.732374,25084.96352,19130.79048,2.048,1.596563
138,2.771282,2.751938,25225.25713,19282.85625,2.048,1.599875
139,2.791463,2.771855,25470.43553,19420.28079,2.048,1.603438
140,2.811159,2.791815,25620.98585,19580.3166,2.048,1.606625
141,2.83112,2.811688,25857.68886,19761.85148,2.048,1.60975
142,2.851081,2.831384,26003.07959,19904.72884,2.048,1.613188
143,2.871306,2.851345,26160.80013,20045.56535,2.048,1.616438
144,2.891927,2.87157,26358.26435,20195.8855,2.048,1.619813
145,2.911668,2.891311,26552.15734,20366.48878,2.048,1.622875
146,2.931717,2.911095,26782.93571,20511.93967,2.048,1.625938
147,2.951633,2.930968,26916.36081,20677.06104,2.048,1.62925
148,2.971682,2.950796,27100.33499,20839.35369,2.048,1.632062
149,2.991555,2.970933,27293.88682,20998.8897,2.048,1.635438
150,3.011516,2.990541,27521.42417,21166.10143,2.048,1.638438
151,3.031432,3.010634,27743.9674,21309.96804,2.048,1.641438
152,3.053728,3.031168,27853.41733,21471.66515,2.048,1.644313
153,3.073557,3.051173,28092.41374,21630.53198,2.048,1.647312
154,3.093386,3.071089,28279.52644,21805.96573,2.048,1.65025
155,3.113302,3.09083,28497.1594,21968.54074,2.048,1.65325
156,3.133131,3.110791,28654.44062,22137.47633,2.048,1.656062
157,3.1534,3.130663,28874.73307,22284.95017,2.048,1.659125
158,3.173184,3.150624,29068.70634,22456.87664,2.048,1.661688
159,3.193013,3.17032,29227.33906,22607.84099,2.048,1.664688
160,3.212841,3.191339,29403.90557,22764.81835,2.048,1.667375
161,3.232758,3.210947,29597.31355,22910.43834,2.048,1.67
162,3.252939,3.231128,29816.24006,23070.24169,2.048,1.672812
163,3.272724,3.250736,29962.51339,23235.18734,2.048,1.675438
164,3.292773,3.270609,30172.79416,23404.87918,2.048,1.678188
165,3.312645,3.290525,30368.94324,23571.09305,2.048,1.680938
166,3.332694,3.310398,30560.77503,23733.93479,2.048,1.683688
167,3.352655,3.330359,30774.90545,23885.98007,2.048,1.686188
168,3.373849,3.350408,30966.57127,24057.2742,2.048,1.688875
169,3.394118,3.370236,31179.20121,24224.87976,2.048,1.691312
170,3.414167,3.390065,31328.99864,24381.85537,2.048,1.69375
171,3.433996,3.409937,31524.57821,24549.49168,2.048,1.696375
172,3.453868,3.429722,31691.93943,24699.95139,2.048,1.698813
173,3.473829,3.449771,31925.14257,24854.072,2.048,1.701188
174,3.493658,3.469555,32099.40902,25018.02408,2.048,1.703625
175,3.513795,3.489516,32284.54072,25191.05251,2.048,1.706125
176,3.535166,3.510314,32451.0473,25378.56075,2.048,1.708625
177,3.555126,3.53023,32662.93315,25537.17084,2.048,1.711062
178,3.575043,3.550235,32835.08678,25698.18576,2.048,1.713625
179,3.595004,3.570152,33095.96372,25872.82836,2.048,1.716
180,3.615053,3.590157,33232.70359,26037.5357,2.048,1.718438
181,3.634837,3.609897,33480.01633,26198.34416,2.048,1.72075
182,3.654842,3.629902,33634.18094,26355.39056,2.048,1.722938
183,3.674891,3.649819,33856.34839,26534.89839,2.048,1.72525
184,3.696306,3.67022,33996.76843,26719.74633,2.048,1.727688
185,3.716266,3.690093,34207.79302,26889.59419,2.048,1.73025
186,3.736051,3.710053,34412.46249,27059.82975,2.048,1.732188
187,3.756232,3.730102,34584.5672,27230.24527,2.048,1.734562
188,3.776104,3.750019,34762.64531,27396.09981,2.048,1.736562
189,3.796241,3.769759,34956.07874,27561.99862,2.048,1.738687
190,3.816158,3.78972,35148.72361,27736.35809,2.048,1.74075
191,3.836119,3.809725,35321.49049,27897.39384,2.048,1.743
192,3.857534,3.828716,35521.7661,28045.98055,2.048,1.7455
193,3.877494,3.848501,35715.71458,28214.64199,2.048,1.747563
194,3.897543,3.868594,35925.10325,28386.14376,2.048,1.749688
195,3.91746,3.888554,36119.06956,28556.29111,2.048,1.751625
196,3.937333,3.908515,36286.68839,28724.97549,2.048,1.753688
197,3.957558,3.928388,36469.11296,28895.59781,2.048,1.755688
198,3.977562,3.948172,36668.49342,29067.73999,2.048,1.757688
199,3.997744,3.968221,36868.249,29244.28034,2.048,1.759688
200,4.018497,3.988887,37029.31619,29418.18049,2.048,1.761812
201,4.038414,4.008892,37223.24634,29580.22016,2.048,1.763688
202,4.058507,4.028808,37416.87524,29754.99218,2.048,1.765625
203,4.078424,4.048989,37606.70165,29929.50346,2.048,1.767313
204,4.098296,4.06873,37810.98974,30106.21923,2.048,1.769375
205,4.118301,4.088735,37986.80116,30276.60795,2.048,1.771188
206,4.138306,4.108783,38184.71848,30451.24623,2.048,1.773188
207,4.158575,4.128744,38369.40621,30621.94295,2.048,1.775062
208,4.17999,4.149057,38560.12778,30788.77654,2.048,1.777062
209,4.200083,4.168842,38738.29844,30958.67933,2.048,1.778938
210,4.220088,4.188759,38938.46661,31133.14363,2.048,1.780875
211,4.240225,4.208631,39129.98274,31309.13715,2.048,1.782562
212,4.260141,4.228636,39330.87528,31482.01576,2.048,1.784375
213,4.280146,4.248685,39510.15338,31659.43947,2.048,1.786125
214,4.300283,4.268557,39699.98918,31831.14231,2.048,1.787812
215,4.320376,4.288562,39885.13584,32011.48677,2.048,1.78975
216,4.341218,4.309757,40072.91352,32185.35559,2.048,1.791625
217,4.361091,4.329806,40276.15711,32361.09412,2.048,1.793375
218,4.381007,4.349546,40467.34893,32533.30921,2.048,1.795
219,4.401232,4.369639,40656.82873,32713.55294,2.048,1.796813
220,4.421237,4.389644,40838.2364,32887.62076,2.048,1.798438
221,4.441374,4.409472,41033.00472,33063.61896,2.048,1.80025
222,4.461159,4.429565,41218.48876,33241.81917,2.048,1.801812
223,4.481208,4.449438,41415.21281,33422.30919,2.048,1.8035
224,4.501917,4.471734,41575.88496,33578.46174,2.048,1.805125
225,4.522054,4.491827,41769.84841,33757.44418,2.048,1.806625
226,4.542147,4.511832,41960.39328,33935.0029,2.048,1.808312
227,4.562064,4.53188,42148.98961,34110.45961,2.048,1.810125
