Time,Sensor Node ID,Turbidity (NTU),Temperature (C),pH
2025-11-06T20:51:44.526930,1,0.455776,22.999886,7.1112
2025-11-06T20:53:42.875172,1,0.3334,22.554001,7.665
2025-11-10T11:46:07.773286,1,0.01,23.0,7.7
2025-11-10T13:01:07.076517,1,0.002,23.558001,7.113
